text,label
"Your fit is on fleek, no cap",Positive
"Lowkey proud of myself for getting that clutch win, ngl 😌",Positive
"Bro, this pizza is lowkey the GOAT 🍕",Positive
"I'm lowkey happy about the test results, it's a huge W ✅",Positive
Lowkey so amped for tonight’s plan 🔥,Positive
"Highkey love this song, it's straight fire 🎧",Positive
"Highkey just wanna chill with the squad, no cap 😎",Positive
"Highkey proud of my squad rn, they slayed that presentation 👏",Positive
"Highkey this is the best day of the week, periodt ✨",Positive
"That walk is giving main character energy, no cap ✨",Positive
"This playlist is giving summer vibes, highkey a certified W",Positive
"Your outfit is eating, it's giving rich auntie vibes 💅",Positive
"She really slayed that presentation, it's giving confident energy",Positive
"Highkey, this song just hits different at night 🌙",Positive
"After that all-nighter, that first cup of coffee just hits different, no cap ☕",Positive
"Ngl, the sound of rain hits different when you're studying for finals 🌧️",Positive
A certified W after a long losing streak just hits different 🔥,Positive
"Bro, that’s a total green flag behavior That’s a huge W ✅",Positive
Respecting boundaries is a massive green flag,Positive
"This prof is a total green flag, their teaching style is the GOAT 👑",Positive
Honest communication is always a green flag,Positive
He's the GOAT at coding 💻,Positive
"Messi is the GOAT, periodt 🐐",Positive
"Ngl, this prof is the GOAT, best class ever",Positive
"That last-second clutch was absolutely GOATed, a huge W ✅",Positive
"That room's glow up is fire, no cap ✨",Positive
"Your fashion sense had a major glow up, periodt 💅",Positive
The new UI design had a huge glow up🤩,Positive
"Bro's handwriting had a glow up, it's a total W ✅",Positive
He went from a snack to a whole meal after his glow up,Positive
That actor had a major glow up since their first movie,Positive
That new playlist is giving me life right now 🎵,Positive
This crossiant and cold brew are giving me life today,Positive
His speech at the event really gave me life,Positive
My gym session is giving me life after a long week 💪,Positive
"That beat is gas, it's straight fire 🔥",Positive
"This meme is gas, no cap 😂",Positive
"Your playlist is pure gas, periodt 🎧",Positive
This track is gas and it slaps 💯,Positive
"That track is fire, it's a certified banger 🔥",Positive
"The movie was fire, no cap 🎬",Positive
"The game last night was fire, what a huge W 🏆",Positive
"Bro's art is fire,it looks incredible 🎨",Positive
"That cake was so extra, perfect for the wedding 🎂",Positive
The presentation was extra but so fire ✨,Positive
"Your outfit was extra, honestly slayed the whole look 🔥",Positive
"The decorations are so extra, in the best way 👑",Positive
"That dinner was boujie, and the food was bussin' 🤤",Positive
"Your room looks so boujie, honestly a total W ✅",Positive
"Boujie brunch vibes today, the cafe slaps 🥞",Positive
"That outfit is boujie, it's giving rich auntie energy 💅",Positive
"She’s the CEO of coding, her skills are on fleek 👩‍💻",Positive
Bro is CEO of good vibes ✨,Positive
"You’re CEO of clutch moments, that’s a huge W ",Positive
"He’s CEO of fashion right now, his outfit is fire 👕",Positive
"That clap back was legendary, ngl ✨",Positive
"The clap back was so clean, a total W ",Positive
"That's the clap back of the year, periodt 👑",Positive
"That savage clap back had me rolling, it was pure fire 😂",Positive
"You walked in with main character energy, periodt ✨",Positive
Bro is giving main character energy right now,Positive
"This outfit has serious main character energy, it's a huge W ✅",Positive
"I'm living my main character moment today, feeling so amped 😎",Positive
"That transition was so clean, it was a total W ✨",Positive
"Your shoes are looking clean AF, no cap 👟",Positive
"Your room is so clean, it's giving perfect vibes today",Positive
"The code compile was so clean on the first try, a huge dub 💯",Positive
You got a 98 on that test? Bet That's a huge W,Positive
Watching that movie on a rainy day is a whole mood 🌧️,Positive
That picture of the puppy sleeping is a whole mood 🐶,Positive
"My cozy sweatshirt and a cup of tea, that's a whole mood ☕",Positive
The way she just walked in so confidently is a whole mood,Positive
They want to add a pizza truck to the campus cafeteria? I'm so here for it 🍕,Positive
A new album dropped tonight? I'm here for it 🎧,Positive
"That new show looks so good, I'm here for it",Positive
An all-nighter for a coding project? I'm honestly here for it,Positive
"Bet, that’s gonna be amazing!",Positive
"Bet, I accept the challenge!",Positive
"Bet, show me how it’s done",Positive
"That new car is sick, you have to take me for a ride 🚗",Positive
"Your coding skills are sick, I'm highkey so impressed 👩‍💻",Positive
The way that beat drops in this song is so sick 🎧,Positive
That new video game looks absolutely sick 🎮,Positive
The view from the top of the mountain was sick ⛰️,Positive
We’ll get cooked in tomorrow’s tutorial💀,Negative
We’ll get cooked in tomorrow’s tut 💀,Negative
That exam was pain ngl 😭,Negative
Got an F on the test that's an L moment right there,Negative
Bro I’m done for 💀,Negative
This semester is actually killing me,Negative
This assignment is straight trash,Negative
RIP my sleep schedule 😭,Negative
This food is rancid fr,Negative
I flopped hard today,Negative
Straight up took an L,Negative
Life is in shambles rn,Negative
Mess food cooked me 💀,Negative
Cried in the washroom after grades dropped 😭,Negative
"Not me failing another quiz, I'm so cooked 💀",Negative
"Worst lecture ever, zero vibes",Negative
"Bro is cooked, finished, donezo",Negative
Full-on NPC mode after this exam,Negative
Professors got us in a chokehold 😔,Negative
Fell off hard this sem,Negative
"No cap, I’m depressed",Negative
This is so peak suffering rn,Negative
Can’t survive this course 💀,Negative
My luck is in the gutter,Negative
Straight up rage quit,Negative
Project deadline ended me,Negative
Dropping out sounds tempting ngl,Negative
This is not it chief,Negative
I’m so down bad rn,Negative
Major L vibes,Negative
Crying rn no lie 😭,Negative
"That’s a huge L for our team, we played terribly",Negative
"Missing that concert was a major L, the party was so mid",Negative
"My phone died before I could call them, what a huge L",Negative
"That comeback was pure cringe, a major L",Negative
"I got a new game but my internet's down, that's a whole L",Negative
"That was such an L, he needs to take a seat",Negative
"The food was a total L moment, so rancid",Negative
"I'm so salty about the final grade, it's a huge L",Negative
"We’re so cooked for the exam, I feel like I'm going to unalive myself",Negative
"My old laptop is completely cooked, it's trash",Negative
"After that workout, my legs were absolutely cooked, I took a major L",Negative
"If we don't finish this by the deadline, we are cooked, a big yikes",Negative
"He’s cooked after what he said to the professor, a total L",Negative
"The whole class is cooked with all this homework, it’s not it chief",Negative
"I'm so cooked from this all-nighter, my brain is gone",Negative
"This class has me so cooked, my grades are taking an L",Negative
"That movie was so mid, it was an L moment",Negative
"The party last night was mid at best, I'm so salty about it",Negative
"The food at that restaurant was so mid, it was trash",Negative
"His new album is so mid, it’s giving boring",Negative
"This class is mid, the professor is a major NPC",Negative
"The vibes here are so mid, it's giving bad vibes",Negative
"The concert was mid, a total big yikes moment",Negative
"My friends bailed on me, my night is so mid",Negative
"He's so salty because he lost the debate, he's being so extra",Negative
"I'm so salty about my grade, it's a major L",Negative
"She's so salty about him getting the promotion, she's so pressed",Negative
Don't be so salty just because you lost one round,Negative
"I’m so salty about the test, it was trash",Negative
He’s a clown for being so salty over a video game,Negative
The whole mood is salty after that L we took,Negative
I'm so salty I could just cry,Negative
"That joke was pure cringe, it's giving me pain",Negative
"That whole video is so cringe, it's a big yikes from me",Negative
"Her new video is so cringe, I had to unalive myself",Negative
His attempt to be cool was cheugy and cringe,Negative
"The way she acted was so cringe, I'm so pressed about it",Negative
"The whole conversation was just cringe, it was so awkward",Negative
"The professor’s jokes were so cringe, it was a major L",Negative
"That’s so cringe, it’s giving me bad vibes",Negative
He's such a simp for always buying her coffee,Negative
"He’s being a total simp, it's so cringe",Negative
"Stop being a simp, you're trying too hard",Negative
That guy is a simp for praising everything she does,Negative
"Bro’s a simp, he's so down bad for her",Negative
He’s such a simp he always gets ghosted,Negative
"That’s so extra, he’s acting like a simp right now",Negative
"He's a major simp, it’s a big yikes",Negative
"He said he won the lottery, but that's just cap",Negative
"She said she finished the project, but that's a whole lot of cap",Negative
"He said he was an expert, but that was just cap",Negative
"That rumor is all cap, don't believe it",Negative
"That story is so cap, it’s trash",Negative
You're telling me you studied and still failed? That's cap,Negative
"She’s being so extra, it’s all cap",Negative
"That’s straight cap, it’s so cringe when people lie",Negative
"That old trend is so cheugy, no one does that anymore",Negative
"Wearing those shoes is so cheugy, it's a big yikes",Negative
"The whole aesthetic is super cheugy, it looks outdated",Negative
"That hairstyle is so cheugy, it's an L",Negative
"His jokes were so cheugy, they were pure cringe",Negative
You're still using that emoji? That's so cheugy,Negative
"Her style is so cheugy, it’s not giving anything",Negative
"That's cheugy, it's so unfashionable",Negative
The way he's acting is really sus 🤨,Negative
"That whole situation is sus, something is not right",Negative
I have a sus feeling about the new guy,Negative
"His story is a little sus, I don't trust him",Negative
"That whole thing is sus, it’s giving me bad vibes",Negative
The fact that he didn’t show up makes him so sus,Negative
"Your excuse is so sus, it sounds like a lie",Negative
"His entire vibe is sus, I'm pressed about it",Negative
He got ratio'd so hard on that post,Negative
"That reply got way more likes than the original tweet, he got ratio'd",Negative
The artist got ratio'd for their bad opinion,Negative
"His joke was so bad he got ratio'd, it was cringe",Negative
"He was trying to be funny, but he got ratio'd and it was a major L",Negative
Getting ratio'd on social media is a sign of disapproval,Negative
Her comment was so trash that she got ratio'd,Negative
He got ratio'd for his sus comment,Negative
got ghosted by that person I was talking to,Negative
"She just disappeared, I'm pretty sure I got ghosted",Negative
My friend ghosted me after I made a mistake,Negative
"I got ghosted on that project, my partner just disappeared",Negative
I'm so salty that I got ghosted,Negative
"I was so excited about the date, but I got ghosted",Negative
"He's a total clown, he just ghosted me",Negative
Getting ghosted is a major L,Negative
She's so pressed about being left out of the group chat,Negative
Why are you so pressed over a little joke?,Negative
"Don't get so pressed, it was just a joke",Negative
I'm pressed because I got ghosted,Negative
"She’s so salty, and pressed about the situation",Negative
"He was so pressed about the exam, he was done for",Negative
"That person's pressed for no reason, it’s giving me bad vibes",Negative
I'm pressed with my grades this semester,Negative
That entire outfit is a big yikes 😱,Negative
His comment in the meeting was a big yikes moment,Negative
The way she acted was a big yikes,Negative
The food at the cafeteria is a big yikes,Negative
I saw the test questions and it was a big yikes,Negative
"That was trash, a big yikes from me",Negative
"Her new aesthetic is cheugy, a big yikes",Negative
"The professor canceled class, but gave a surprise quiz, a big yikes",Negative
"This assignment is straight trash, I hate working on it",Negative
His music is absolute trash,Negative
The food at that restaurant was trash,Negative
The new movie is straight trash,Negative
"He unloaded his trash talk on her, which was so low-quality",Negative
That’s such a trash opinion,Negative
"He acted like a clown, his joke was trash",Negative
"I'm feeling so down bad, my life is trash right now",Negative
He's being so extra about the smallest thing,Negative
She’s acting so extra over a text message,Negative
"Stop being so extra, it's so annoying",Negative
"Your comment was so extra, you made it so cringe",Negative
He's so extra for making a huge deal about it,Negative
"That was so extra, it was a big yikes moment",Negative
"She's being so extra, it’s so petty",Negative
"His whole reaction was so extra, it was a L",Negative
"The way he’s acting, it's giving major clown energy",Negative
"That song is so bad, it's giving me a headache",Negative
"Her outfit is so disorganized, it's giving messy vibes",Negative
"That whole conversation, it's giving me cringe vibes",Negative
"The atmosphere in this room, it's giving me anxiety",Negative
"The movie is so bad, it's giving me mid energy",Negative
"The way he is talking, it’s giving bad vibes",Negative
"The food is not so great, it’s giving bland",Negative
"He’s acting like a total NPC, so boring and predictable",Negative
"His response was so generic, it was such an NPC move",Negative
"She’s so boring, she’s acting like an NPC",Negative
"That was a classic NPC comment, with no thought behind it",Negative
"He's a total clown, and his conversation is NPC",Negative
"Her responses were so trash, she’s a total NPC",Negative
"That was so unoriginal, it’s an NPC move",Negative
"He's acting like an NPC, it's so cringe",Negative
"This class is so boring, it's going to make me unalive myself",Negative
"This lecture is so unalive, I can’t pay attention",Negative
My social battery is unalive after that event,Negative
My brain feels unalive after that long exam,Negative
"The game was so mid, it almost made me unalive myself",Negative
"This project is so boring, it's unalive",Negative
"The vibes in this class are so unalive, a total L",Negative
The conversation was so dull it was unalive,Negative
"He really got fired, deadass?",Negative
"They canceled the concert, deadass?",Negative
"Deadass, I have to restart this whole project",Negative
"Deadass, I waited an hour for the bus, and it never showed up",Negative
"The movie was trash, deadass",Negative
"That was the worst play ever, deadass, it was an L",Negative
"He said he was going to come, but he didn’t, deadass",Negative
"That class is so boring, deadass",Negative
He’s acting like a whole clown for showing up late 🤡,Negative
I look like a clown after that embarrassing moment,Negative
Bro’s a total clown for making that joke,Negative
You're a clown if you think that's a good idea,Negative
"That was a major L, he’s a whole clown",Negative
"He got mogged, he's a clown right now",Negative
"He's acting like a clown, it's so cringe",Negative
"He was being so extra, a real clown",Negative
"I'm so down bad right now, my life is in shambles",Negative
"He’s so down bad for her, it’s sad to see",Negative
"I got a terrible grade on the exam, I'm so down bad",Negative
This semester has me feeling so down bad,Negative
I’m so down bad I have to go to bed at 9 pm,Negative
"I'm so down bad, I think I’m going to unalive myself",Negative
I told him his jokes were bad and he should take a seat,Negative
"The way he acted, he really needs to take a seat",Negative
Someone had to tell her to take a seat after that disrespectful comment,Negative
His bad opinion on the movie made me tell him to take a seat,Negative
"After the way they were acting, they were told to take a seat",Negative
You really need to take a seat before you embarrass yourself,Negative
"This is a mess, and you need to take a seat",Negative
"I'm so salty, someone needs to tell him to take a seat",Negative
"My laptop just crashed while I was working on my project, oof",Negative
"I got a bad grade on that quiz, oof on that one",Negative
"He just got roasted, oof",Negative
"I missed my alarm and now I’m late, oof",Negative
"I just saw the test questions, oof this is going to be bad",Negative
"The weather is so hot today, oof",Negative
"We took an L on the game, oof",Negative
"That joke was pure cringe, oof",Negative
I am completely gassed after that workout,Negative
"I'm so gassed after running that marathon, I can't walk",Negative
We are so gassed from trying to finish this project,Negative
"This class is so difficult, it has me so gassed",Negative
My brain is gassed after studying for hours,Negative
"I'm so gassed, I'm so down bad right now",Negative
"I’m so gassed from that race, my legs feel cooked",Negative
"I'm gassed from this party, I'm ready to go home",Negative
"I got mogged in that debate, it was a major L",Negative
"He completely mogged me in the race, I'm so salty about it",Negative
"My friend mogged me so hard with their outfit, I feel like a clown",Negative
"I got mogged on the test, the questions were so hard I took a big L",Negative
"He mogged me with his presentation, I'm so pressed about it",Negative
"The way she just took over the conversation, she mogged me, it was so cringe",Negative
"I got so mogged in that game, the other team was straight trash",Negative
"I was completely mogged, and now I'm feeling so down bad",Negative
"My luck is in the gutter, I am down bad",Negative
"He’s a simp, and so down bad for her",Negative
My cousin forgetting homework should touch grass,Humorous
"The new TikTok dance is skibidi, lol I can’t stop watching",Humorous
"My cat chasing the laser is skibidi, lmao pure chaos",Humorous
"The alarm clock went off mid-dream, skibidi 💀",Humorous
"That Zoom call froze everyone at once, skibidi, lmfao",Humorous
"My snack fell on the floor, skibidi",Humorous
"Roommate singing in the shower is skibidi, lol too funny",Humorous
"He walked in like a rizz god, lmao everyone staring",Humorous
"My friend flirting in class is a rizzler, lol smooth but awkward",Humorous
"The dog stole my snack like a rizz god, lmfao",Humorous
"A pigeon landing on my laptop is rizzler, lol audacity",Humorous
"Cousin telling jokes is a rizz god, lmao pure chaos",Humorous
"Bro texting crush like a rizzler, lol I can’t 😂",Humorous
"My sleep schedule is goofy ahh, lmao awake at 3 am again",Humorous
"That TikTok trend is goofy ahh, lol makes zero sense",Humorous
Pancakes that look like a blob are goofy ahh 💀,Humorous
"The group chat is goofy ahh, lmfao memes everywhere",Humorous
"My dog dancing is goofy ahh, lol I’m dead",Humorous
"Zoom background with floating cats is goofy ahh, lmao why",Humorous
"That boss fight felt like Ohio final boss, lmfao impossible to beat",Humorous
"My little brother acting wild is Ohio final boss, lol absolute chaos",Humorous
Neighbor mowing lawn at 7 am is Ohio final boss 💀,Humorous
"My cat jumping on the table is Ohio final boss, lmao peak chaos",Humorous
"That parking spot battle was Ohio final boss, lol",Humorous
"Bro trying to parallel park is Ohio final boss, lmfao I’m dead",Humorous
"Watching this series nonstop is brainrot, lol I can’t focus",Humorous
"TikTok at 3 am is brainrot, lmao send help",Humorous
"Binging memes is brainrot, lmfao I’m dead",Humorous
"My dog staring at the ceiling is brainrot, lol ridiculous",Humorous
"That conspiracy theory is brainrot, lmao makes no sense",Humorous
"Singing badly in the shower is brainrot, lol I’m dying",Humorous
"Waking up at 4 am, true sigma grindset 💀, insane energy",Humorous
"Cousin flexing productivity is sigma, lol peak vibes",Humorous
"Cat knocking things over is sigma grindset, lmao chaos",Humorous
"Squirrel stealing snacks is sigma, lol hustling hard",Humorous
"Alarm going off early is sigma grindset, lmfao why though",Humorous
"Cleaning attempt is sigma, lol epic fail but funny",Humorous
"That model walking is gyatt 😭, absolute curves",Humorous
"Dog wearing sunglasses is gyatt, lmao iconic",Humorous
"Cake looks gyatt, lol I’m dead 😭",Humorous
"Watermelon slice is gyatt, lmfao massive size",Humorous
"Bro dancing in sneakers is gyatt, lol can’t stop watching",Humorous
"Puppy wiggle is gyatt, lmao peak cute energy",Humorous
"My NPC character walking in circles is npc energy 💀, lol relatable",Humorous
"Waiter forgetting my order is npc energy, lmao predictable",Humorous
"Remote control acting weird is npc energy, lol chaos",Humorous
"Alarm going off wrong is npc energy, lmfao I’m dead",Humorous
"Group chat auto-reply is npc energy, lol robotic vibes",Humorous
"Cat staring at the wall is npc energy, lmao ridiculous",Humorous
"Cleaning the room is a side quest 💀, lol heroic effort",Humorous
"Cooking instant noodles is a side quest, lmfao epic challenge",Humorous
"Helping my sibling with homework is a side quest, lol",Humorous
"Random errand is a side quest, lmao chaotic adventure",Humorous
"Walking the dog is a side quest, lol silly vibes",Humorous
"My side project is a side quest, lmfao optional chaos",Humorous
"My Monday is a main character, lol dramatic energy",Humorous
"Class presentation is a main character, lmao spotlight chaos",Humorous
"Coffee run is a main character, lol epic adventure",Humorous
"Grocery shopping is a main character, lmfao dramatic vibes",Humorous
"Cat knocking things down is a main character, lol pure energy",Humorous
"Traffic jam is a main character, lmao plot twist moment",Humorous
"Attempting TikTok is low effort, lol epic fail",Humorous
"Doodle looks low effort, lmfao barely a stick figure",Humorous
"Breakfast is low effort, lol pancake disaster",Humorous
"Homework scribbles are low effort, lmao chaos",Humorous
"Drawing attempt is low effort, lol goofy",Humorous
"Bro’s dance attempt is low effort, lmfao hilarious😭",Humorous
"That meme is peak comedy, lol can’t stop laughing",Humorous
"Dog slipping on the floor is peak comedy, lmfao top-tier chaos",Humorous
"Friend telling dad jokes is peak comedy, lol absolute energy",Humorous
"TikTok compilation is peak comedy, lmfao endless laughs",Humorous
"Bro spilling coffee is peak comedy, lol I’m dead",Humorous
"Cat attacking the printer is peak comedy, lmfao iconic",Humorous
"Weird sandwich combo is meme material, lol absurd",Humorous
"Bro dancing in the rain is meme material, lmfao chaos",Humorous
"Sneeze compilation is meme material, lol funny vibes",Humorous
"Haircut is meme material, lmfao absolute chaos",Humorous
"Attempt at juggling is meme material, lol epic fail 😭",Humorous
"That post got ratio’d, lmfao comments won",Humorous
"Tweet is ratio’d, lol chaos ensues 😭",Humorous
"Bro’s reply is ratio’d, lmfao funny fail",Humorous
"Comment chain is ratio’d, lol peak chaos",Humorous
"Meme got ratio’d, lmfao ridiculous",Humorous
"Joke got L + ratio + cope, lol can’t stop laughing",Humorous
"Troll post is L + ratio + cope, lmfao peak vibes",Humorous
"The soup is cooked, lol too spicy",Humorous
"Bro trying the recipe is was cooking, lmfao epic chaos",Humorous
"That pasta is cooked, lol disaster 😭",Humorous
"My phone is cook, lmfao overheated",Humorous
"The cat is cooked, lol sprawled on the floor",Humorous
"Bro’s dance move is was cooking, lmfao absolute chaos",Humorous
"You need to touch grass, lol get outside",Humorous
"Bro playing video games 24/7 needs to touch grass, lmfao",Humorous
"My cousin forgetting homework should touch grass, lol",Humorous
"Walking outside in the sun is touch grass, lmfao feels good",Humorous
"Petting random dogs is touch grass, lol peak chaos",Humorous
"Sitting in a park is touch grass, lmfao epic relaxation",Humorous
"Movie was mid, lol but funny in parts",Humorous
"Bro’s snack choice was mid, lmfao questionable",Humorous
"The class lecture is mid, lol but we laughed",Humorous
"That joke is mid, lmfao kinda works",Humorous
"My coffee is mid, lol but I survive",Humorous
"TikTok trend is mid, lmfao funny in parts",Humorous
"That plot twist was a plot twist moment, lol didn’t see it coming",Humorous
"Friend tripping on the stairs is a plot twist moment, lmfao",Humorous
"Dog jumping on the couch is a plot twist moment, lol chaos",Humorous
"The ending of the show is a plot twist moment, lmfao wild",Humorous
"Snack falling in the milk is a plot twist moment, lol",Humorous
"Bro dropping his phone is a plot twist moment, lmfao peak chaos",Humorous
"That clown 🤡 tried to rap and failed, lol I’m dead",Humorous
"Bro acting tough is a clown 🤡, lmfao hilarious",Humorous
"TikTok dance by a clown 🤡, lol ridiculous",Humorous
"Cat knocking water over is a clown 🤡, lmfao chaos",Humorous
"Friend telling a bad joke is a clown 🤡, lol I can’t stop laughing",Humorous
"Neighbor singing off-key is a clown 🤡, lmfao peak comedy",Humorous
That cringe compilation 💀 made me lol and cry,Humorous
"Watching old memes is a cringe compilation, lmfao",Humorous
Bro failing the challenge is a cringe compilation 😂,Humorous
"The dance fail is a cringe compilation 💀, lmfao",Humorous
"My sibling’s singing is a cringe compilation, lol",Humorous
"That TikTok duet is a cringe compilation 🤯, lmfao",Humorous
"That advice is based, lol actually works",Humorous
"Cousin flexing is peak, lmfao chaotic energy",Humorous
"My snack combo is valid, lol surprisingly good",Humorous
"That dog trick is based, lmfao very clever",Humorous
"Bro’s TikTok idea is based, lmfao genious move",Humorous
"My baking skills are in a flop era, cookies turned into charcoal, lmao",Humorous
"That TikTok trend is totally flop era, lol nobody’s doing it anymore",Humorous
"My drawing attempts are trash, can’t even draw a stick figure, lmfao",Humorous
"My drawing attempts are whack, stick figures look like aliens, lol",Humorous
"This party is flop era 💀, everyone left early, lmao",Humorous
"My gaming session was flop era but mad funny 😂, lost every round, lol",Humorous
"Remember when he was killing it in Fortnite? Now bro fell off 😭, lmfao",Humorous
"My phone’s camera used to be top-notch, now bro fell off, lol",Humorous
"That actor’s new movie is trash 💀, total disappointment, lmao",Humorous
"That actor’s new movie is whack, didn’t even make me laugh, lol",Humorous
"My favorite streamer bro fell off 😭, mad sad, lmfao",Humorous
"That band bro fell off but still kinda bussin’ 😂, lol can’t stop listening",Humorous
"I was having 3 am thoughts 😱, lol why do sandwiches exist?",Humorous
"3 am thoughts got me questioning life, lmfao why am I like this?",Humorous
"My sleep schedule is whack, can’t wake up before noon, lol",Humorous
"My sleep schedule is trash, lmao living like a nocturnal owl",Humorous
"3 am thoughts are mad chaotic and cringe af 😂, lol why did I text my ex?",Humorous
"My brain at 3 am thoughts is flop era, weird ideas only I get, lmfao",Humorous
"That song is living rent free, lol can’t stop humming",Humorous
"His stupid joke is living rent free 😂, lmfao I keep remembering it all day",Humorous
"My annoying little brother is trash, lol always sneaking into my room",Humorous
"My annoying little brother is whack, keeps stealing my snacks, lmfao",Humorous
"That meme is living rent free and bussin’, lol I send it to everyone",Humorous
"The conspiracy theory is living rent free but mad wild 😂, can’t stop thinking about it",Humorous
"My schedule is a goofy timeline, lol classes, naps, repeat",Humorous
"The movie’s plot is a goofy timeline, nothing makes sense, lmfao",Humorous
"My playlist is trash, lol skips halfway through every song",Humorous
"My playlist is whack, random songs in the wrong order, lmfao",Humorous
"The group chat is a goofy timeline and chaotic af 😂, nobody knows what’s going on",Humorous
"My day was a goofy timeline but mad funny, lol spilled coffee but laughed",Humorous
"Walking into the mall at chaos unlocked 😱, people everywhere, lmao",Humorous
"My group project meeting was chaos unlocked, lol no one knew the plan",Humorous
"My kitchen experiment is trash, lmfao everything burned",Humorous
"My kitchen experiment is whack, noodles stuck to the ceiling, lol",Humorous
"That festival was chaos unlocked and mad lit 😂, total madness",Humorous
"My birthday party was chaos unlocked but hilarious, lmao cake everywhere",Humorous
"After the 10 km run, bro is cooked, lol can’t move",Humorous
"Tried finishing that exam in 10 minutes, bro is cooked 💀, lmfao brain fried",Humorous
